Date,Open,High,Low,Close,Adj Close,Volume
2020-01-22,233.270004,234.360001,231.039993,231.929993,231.929993,0
2020-01-23,230.179993,235.580002,230.169998,232.029999,232.029999,0
2020-01-24,232.029999,236.940002,231.500000,236.610001,236.610001,0
2020-01-27,240.449997,241.619995,233.020004,235.020004,235.020004,0
2020-01-28,232.179993,233.229996,226.669998,227.539993,227.539993,0
2020-01-29,227.350006,233.529999,226.339996,233.470001,233.470001,0
2020-01-30,234.589996,235.910004,232.080002,233.410004,233.410004,0
2020-01-31,233.889999,237.139999,233.250000,234.630005,234.630005,0
2020-02-03,233.009995,233.979996,230.240005,232.470001,232.470001,0
2020-02-04,232.470001,232.470001,224.039993,226.729996,226.729996,0
2020-02-05,225.919998,229.169998,225.300003,227.220001,227.220001,0
2020-02-06,227.220001,231.419998,227.220001,230.759995,230.759995,0
2020-02-07,231.820007,232.839996,226.229996,226.550003,226.550003,0
2020-02-10,228.220001,230.979996,226.410004,229.380005,229.380005,0
2020-02-11,228.690002,230.240005,226.110001,228.339996,228.339996,0
2020-02-12,226.940002,228.250000,224.550003,225.449997,225.449997,0
2020-02-13,227.660004,230.350006,226.490005,228.130005,228.130005,0
2020-02-14,225.690002,228.119995,224.880005,225.360001,225.360001,0
2020-02-18,228.070007,235.750000,227.000000,235.729996,235.729996,0
2020-02-19,237.509995,240.449997,235.000000,240.449997,240.449997,0
2020-02-20,240.160004,245.089996,238.539993,240.100006,240.100006,0
2020-02-21,246.240005,250.460007,245.550003,249.750000,249.750000,0
2020-02-24,260.420013,260.589996,249.949997,253.449997,253.449997,0
2020-02-25,248.960007,255.740005,244.940002,245.119995,245.119995,0
2020-02-26,243.820007,248.949997,242.630005,245.559998,245.559998,0
2020-02-27,248.210007,248.210007,227.710007,228.309998,228.309998,0
2020-02-28,213.529999,218.800003,205.600006,215.539993,215.539993,0
2020-03-02,221.169998,224.029999,217.589996,223.580002,223.580002,0
2020-03-03,226.860001,242.050003,223.559998,233.300003,233.300003,0
2020-03-04,236.389999,237.759995,229.720001,236.509995,236.509995,0
2020-03-05,239.240005,244.130005,236.059998,243.190002,243.190002,0
2020-03-06,245.000000,245.690002,231.190002,240.270004,240.270004,0
2020-03-09,231.369995,233.460007,221.059998,221.110001,221.110001,0
2020-03-10,223.139999,226.229996,212.429993,222.100006,222.100006,0
2020-03-11,219.729996,221.160004,201.470001,204.759995,204.759995,0
2020-03-12,183.270004,200.089996,174.059998,181.990005,181.990005,0
2020-03-13,189.169998,189.169998,162.589996,163.699997,163.699997,0
2020-03-16,145.020004,185.110001,142.509995,176.520004,176.520004,0
2020-03-17,173.110001,203.380005,173.110001,199.289993,199.289993,0
2020-03-18,189.919998,201.669998,168.520004,172.410004,172.410004,0
2020-03-19,171.559998,199.339996,154.600006,176.720001,176.720001,0
2020-03-20,183.110001,184.210007,165.639999,166.289993,166.289993,0
2020-03-23,173.190002,184.679993,167.380005,177.050003,177.050003,0
2020-03-24,197.960007,204.899994,188.470001,201.710007,201.710007,0
2020-03-25,202.009995,213.880005,195.339996,207.559998,207.559998,0
2020-03-26,213.809998,219.360001,200.699997,206.320007,206.320007,0
2020-03-27,201.110001,205.889999,191.539993,194.210007,194.210007,0
2020-03-30,195.529999,202.639999,185.729996,190.690002,190.690002,0
2020-03-31,187.039993,196.059998,185.009995,186.039993,186.039993,0
